Filename,AI,Source
manim__conftest_0.py,False,https://github.com/ManimCommunity/manim
manim__docs__source__conf_1.py,False,https://github.com/ManimCommunity/manim
manim__docs__source__manim_directive_2.py,False,https://github.com/ManimCommunity/manim
manim__example_scenes__advanced_tex_fonts_3.py,False,https://github.com/ManimCommunity/manim
manim__example_scenes__basic_4.py,False,https://github.com/ManimCommunity/manim
manim__example_scenes__customtex_5.py,False,https://github.com/ManimCommunity/manim
manim__example_scenes__opengl_6.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__animation_7.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__composition_8.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__creation_9.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__fading_10.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__growing_11.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__indication_12.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__movement_13.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__numbers_14.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__rotation_15.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__specialized_16.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__transform_17.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__transform_matching_parts_18.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation__update_19.py,False,https://github.com/ManimCommunity/manim
manim__manim__animation____init___20.py,False,https://github.com/ManimCommunity/manim
manim__manim__camera__camera_21.py,False,https://github.com/ManimCommunity/manim
manim__manim__camera__mapping_camera_22.py,False,https://github.com/ManimCommunity/manim
manim__manim__camera__moving_camera_23.py,False,https://github.com/ManimCommunity/manim
manim__manim__camera__multi_camera_24.py,False,https://github.com/ManimCommunity/manim
manim__manim__camera__three_d_camera_25.py,False,https://github.com/ManimCommunity/manim
manim__manim__camera__webgl_camera_26.py,False,https://github.com/ManimCommunity/manim
manim__manim__camera____init___27.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__cfg__group_28.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__cfg____init___29.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__init__commands_30.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__init____init___31.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__new__group_32.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__new____init___33.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__plugins__commands_34.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__plugins____init___35.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__render__commands_36.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__render__ease_of_access_options_37.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__render__global_options_38.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__render__output_options_39.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__render__render_options_40.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli__render____init___41.py,False,https://github.com/ManimCommunity/manim
manim__manim__cli____init___42.py,False,https://github.com/ManimCommunity/manim
manim__manim__communitycolors_43.py,False,https://github.com/ManimCommunity/manim
manim__manim__constants_44.py,False,https://github.com/ManimCommunity/manim
manim__manim__grpc__gen__frameserver_pb2_45.py,False,https://github.com/ManimCommunity/manim
manim__manim__grpc__gen__frameserver_pb2_grpc_46.py,False,https://github.com/ManimCommunity/manim
manim__manim__grpc__gen__renderserver_pb2_47.py,False,https://github.com/ManimCommunity/manim
manim__manim__grpc__gen__renderserver_pb2_grpc_48.py,False,https://github.com/ManimCommunity/manim
manim__manim__grpc__gen____init___49.py,False,https://github.com/ManimCommunity/manim
manim__manim__grpc__impl__frame_server_impl_50.py,False,https://github.com/ManimCommunity/manim
manim__manim__grpc__impl____init___51.py,False,https://github.com/ManimCommunity/manim
manim__manim__grpc____init___52.py,False,https://github.com/ManimCommunity/manim
manim__manim__gui__gui_53.py,False,https://github.com/ManimCommunity/manim
manim__manim__gui____init___54.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__boolean_ops_55.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__changing_56.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__coordinate_systems_57.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__frame_58.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__functions_59.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__geometry_60.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__graph_61.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__logo_62.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__matrix_63.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__mobject_64.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__mobject_update_utils_65.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__numbers_66.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__number_line_67.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__opengl_compatibility_68.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__opengl_geometry_69.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__opengl_mobject_70.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__opengl_three_dimensions_71.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__polyhedra_72.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__probability_73.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__shape_matchers_74.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__brace_75.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__code_mobject_76.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__opengl_text_mobject_77.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__opengl_tex_mobject_78.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__style_utils_79.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__svg_mobject_80.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__svg_path_81.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__text_mobject_82.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg__tex_mobject_83.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__svg____init___84.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__table_85.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__three_dimensions_86.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__three_d_utils_87.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__types__dot_cloud_88.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__types__image_mobject_89.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__types__opengl_point_cloud_mobject_90.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__types__opengl_surface_91.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__types__opengl_vectorized_mobject_92.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__types__point_cloud_mobject_93.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__types__vectorized_mobject_94.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__types____init___95.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__value_tracker_96.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject__vector_field_97.py,False,https://github.com/ManimCommunity/manim
manim__manim__mobject____init___98.py,False,https://github.com/ManimCommunity/manim
manim__manim__opengl____init___99.py,False,https://github.com/ManimCommunity/manim
manim__manim__plugins__import_plugins_100.py,False,https://github.com/ManimCommunity/manim
manim__manim__plugins__plugins_flags_101.py,False,https://github.com/ManimCommunity/manim
manim__manim__plugins____init___102.py,False,https://github.com/ManimCommunity/manim
manim__manim__renderer__cairo_renderer_103.py,False,https://github.com/ManimCommunity/manim
manim__manim__renderer__opengl_renderer_104.py,False,https://github.com/ManimCommunity/manim
manim__manim__renderer__opengl_renderer_window_105.py,False,https://github.com/ManimCommunity/manim
manim__manim__renderer__shader_106.py,False,https://github.com/ManimCommunity/manim
manim__manim__renderer__shader_wrapper_107.py,False,https://github.com/ManimCommunity/manim
manim__manim__renderer__vectorized_mobject_rendering_108.py,False,https://github.com/ManimCommunity/manim
manim__manim__renderer__webgl_renderer_109.py,False,https://github.com/ManimCommunity/manim
manim__manim__renderer____init___110.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__moving_camera_scene_111.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__reconfigurable_scene_112.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__sample_space_scene_113.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__scene_114.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__scene_file_writer_115.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__section_116.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__three_d_scene_117.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__vector_space_scene_118.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene__zoomed_scene_119.py,False,https://github.com/ManimCommunity/manim
manim__manim__scene____init___120.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__bezier_121.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__caching_122.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__color_123.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__commands_124.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__config_ops_125.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__debug_126.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__deprecation_127.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__exceptions_128.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__family_129.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__family_ops_130.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__file_ops_131.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__hashing_132.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__images_133.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__ipython_magic_134.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__iterables_135.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__module_ops_136.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__opengl_137.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__paths_138.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__rate_functions_139.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__simple_functions_140.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__sounds_141.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__space_ops_142.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__strings_143.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__tex_144.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__tex_file_writing_145.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__tex_templates_146.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils__unit_147.py,False,https://github.com/ManimCommunity/manim
manim__manim__utils____init___148.py,False,https://github.com/ManimCommunity/manim
manim__manim___config__logger_utils_149.py,False,https://github.com/ManimCommunity/manim
manim__manim___config__utils_150.py,False,https://github.com/ManimCommunity/manim
manim__manim___config____init___151.py,False,https://github.com/ManimCommunity/manim
manim__manim____init___152.py,False,https://github.com/ManimCommunity/manim
manim__manim____main___153.py,False,https://github.com/ManimCommunity/manim
manim__scripts__dev_changelog_154.py,False,https://github.com/ManimCommunity/manim
manim__scripts__make_and_open_docs_155.py,False,https://github.com/ManimCommunity/manim
manim__scripts__simple_cors_http_server_156.py,False,https://github.com/ManimCommunity/manim
manim__scripts__template_docsting_with_example_157.py,False,https://github.com/ManimCommunity/manim
manim__scripts__template_twitter_post_158.py,False,https://github.com/ManimCommunity/manim
manim__scripts__update_protos_159.py,False,https://github.com/ManimCommunity/manim
manim__tests__assert_utils_160.py,False,https://github.com/ManimCommunity/manim
manim__tests__conftest_161.py,False,https://github.com/ManimCommunity/manim
manim__tests__helpers__graphical_units_162.py,False,https://github.com/ManimCommunity/manim
manim__tests__helpers__path_utils_163.py,False,https://github.com/ManimCommunity/manim
manim__tests__helpers__video_utils_164.py,False,https://github.com/ManimCommunity/manim
manim__tests__helpers____init___165.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_animate_opengl_166.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_axes_shift_opengl_167.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_color_opengl_168.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_composition_opengl_169.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_config_opengl_170.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_coordinate_system_opengl_171.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_copy_opengl_172.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_graph_opengl_173.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_ipython_magic_opengl_174.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_markup_opengl_175.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_numbers_opengl_176.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_number_line_opengl_177.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_opengl_mobject_178.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_opengl_vectorized_mobject_179.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_override_animation_opengl_180.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_scene_opengl_181.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_sound_opengl_182.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_stroke_opengl_183.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_svg_mobject_opengl_184.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_texmobject_opengl_185.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_text_mobject_opengl_186.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_ticks_opengl_187.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_unit_geometry_opengl_188.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl__test_value_tracker_opengl_189.py,False,https://github.com/ManimCommunity/manim
manim__tests__opengl____init___190.py,False,https://github.com/ManimCommunity/manim
manim__tests__template_generate_graphical_units_data_191.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_animate_192.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_axes_shift_193.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_boolops__test_boolops_194.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_color_195.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_commands_196.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_composition_197.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_config_198.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_coordinate_system_199.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_copy_200.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_deprecation_201.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_family_202.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_file_ops_203.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_get_set_204.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_graph_205.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_graphical_units__conftest_206.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_graphical_units__testing__frames_comparison_207.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_graphical_units__testing___frames_testers_208.py,False,https://github.com/ManimCommunity/manim
manim__tests__test_graphical_units__testing___show_diff_209.py,False,https://github.com/ManimCommunity/manim
