Filename,AI,Source,Comments
1.java,False,https://github.com/PaperMC/Paper,Paper__Paper-MojangAPI__src__main__java__com__destroystokyo__paper__brigadier__BukkitBrigadierCommand.j_0.java
2.java,False,https://github.com/PaperMC/Paper,Paper__Paper-MojangAPI__src__main__java__com__destroystokyo__paper__brigadier__BukkitBrigadierCommandSource.j_1.java
3.java,False,https://github.com/PaperMC/Paper,Paper__Paper-MojangAPI__src__main__java__com__destroystokyo__paper__event__brigadier__AsyncPlayerSendCommandsEvent.j_2.java
4.java,False,https://github.com/PaperMC/Paper,Paper__Paper-MojangAPI__src__main__java__com__destroystokyo__paper__event__brigadier__AsyncPlayerSendSuggestionsEvent.j_3.java
5.java,False,https://github.com/PaperMC/Paper,Paper__Paper-MojangAPI__src__main__java__com__destroystokyo__paper__event__brigadier__CommandRegisteredEvent.j_4.java
6.java,False,https://github.com/PaperMC/Paper,Paper__Paper-MojangAPI__src__main__java__io__papermc__paper__brigadier__PaperBrigadier.j_5.java
7.java,False,https://github.com/PaperMC/Paper,Paper__Paper-MojangAPI__src__main__java__io__papermc__paper__brigadier__PaperBrigadierProvider.j_6.java
8.java,False,https://github.com/PaperMC/Paper,Paper__test-plugin__src__main__java__io__papermc__paper__testplugin__TestPlugin.j_7.java
9.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__AnnotationValidator__src__main__java__ghidra__util__database__annotproc__AbstractDBAnnotationValidator.j_8.java
10.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__AnnotationValidator__src__main__java__ghidra__util__database__annotproc__AccessSpec.j_9.java
11.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__AnnotationValidator__src__main__java__ghidra__util__database__annotproc__DBAnnotatedColumnValidator.j_10.java
12.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__AnnotationValidator__src__main__java__ghidra__util__database__annotproc__DBAnnotatedFieldValidator.j_11.java
13.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__AnnotationValidator__src__main__java__ghidra__util__database__annotproc__DBAnnotatedObjectProcessor.j_12.java
14.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__AnnotationValidator__src__main__java__ghidra__util__database__annotproc__DBAnnotatedObjectValidator.j_13.java
15.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__AnnotationValidator__src__main__java__ghidra__util__database__annotproc__ValidationContext.j_14.java
16.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__garbage__DefaultTraceRecorderPre666Onto741.j_15.java
17.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__garbage__DefaultTraceRecorderPre666_740.j_16.java
18.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__garbage__DefaultTraceRecorderSaved.j_17.java
19.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__ghidra_scripts__AddMapping.j_18.java
20.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__ghidra_scripts__PopulateDemoTrace.j_19.java
21.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__AbstractDebuggerPlugin.j_20.java
22.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__DebuggerCoordinates.j_21.java
23.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__DebuggerPluginPackage.j_22.java
24.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__event__ModelActivatedPluginEvent.j_23.java
25.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__event__ModelObjectFocusedPluginEvent.j_24.java
26.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__event__TraceActivatedPluginEvent.j_25.java
27.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__event__TraceClosedPluginEvent.j_26.java
28.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__event__TraceLocationPluginEvent.j_27.java
29.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__event__TraceOpenedPluginEvent.j_28.java
30.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__event__TraceRecorderAdvancedPluginEvent.j_29.java
31.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__event__TraceSelectionPluginEvent.j_30.java
32.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__export__TraceViewAsciiExporter.j_31.java
33.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__export__TraceViewBinaryExporter.j_32.java
34.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__export__TraceViewHtmlExporter.j_33.java
35.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__export__TraceViewIntelHexExporter.j_34.java
36.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__export__TraceViewXmlExporter.j_35.java
37.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__AutoReadMemorySpec.j_36.java
38.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__DebuggerAutoReadMemoryAction.j_37.java
39.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__DebuggerGoToDialog.j_38.java
40.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__DebuggerGoToTrait.j_39.java
41.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__DebuggerReadsMemoryTrait.j_40.java
42.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__DebuggerTrackLocationAction.j_41.java
43.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__DebuggerTrackLocationTrait.j_42.java
44.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__LocationTrackingSpec.j_43.java
45.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__NoneAutoReadMemorySpec.j_44.java
46.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__NoneLocationTrackingSpec.j_45.java
47.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__PCLocationTrackingSpec.j_46.java
48.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__RegisterLocationTrackingSpec.j_47.java
49.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__SPLocationTrackingSpec.j_48.java
50.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__VisibleAutoReadMemorySpec.j_49.java
51.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__action__VisibleROOnceAutoReadMemorySpec.j_50.java
52.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__breakpoint__BreakpointLocationRow.j_51.java
53.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__breakpoint__DebuggerBreakpointEnablementTableCellEditor.j_52.java
54.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__breakpoint__DebuggerBreakpointEnablementTableCellRenderer.j_53.java
55.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__breakpoint__DebuggerBreakpointLocationsActionContext.j_54.java
56.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__breakpoint__DebuggerBreakpointLocEnabledTableCellEditor.j_55.java
57.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__breakpoint__DebuggerBreakpointLocEnabledTableCellRenderer.j_56.java
58.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__breakpoint__DebuggerBreakpointMarkerPlugin.j_57.java
59.java,False,https://github.com/NationalSecurityAgency/ghidra,ghidra__Ghidra__Debug__Debugger__src__main__java__ghidra__app__plugin__core__debug__gui__breakpoint__DebuggerBreakpointsPlugin.j_58.java
